width,height,max_iter,c_real,c_imag,cpu_ms,opencl_ms,speedup
//Fix iteráció (500) - Felbontás hatása (800 x 600)
1920,1080,300,-0.7000000000,0.2701500000,2222.236084,957.577881,2.320684
1920,1080,300,-0.7000000000,0.2701500000,2121.502930,1035.742920,2.048291
1920,1080,300,-0.7000000000,0.2701500000,1504.170898,861.601074,1.745786
1920,1080,300,-0.7000000000,0.2701500000,2017.238037,925.282959,2.180131
1920,1080,300,-0.7000000000,0.2701500000,2104.524170,925.915039,2.272913
1920,1080,300,-0.7000000000,0.2701500000,2026.710938,792.984131,2.555803

//Fix felbontás (1920 x 1080) - Iteráció hatása (1000)
1920,1080,1000,-0.7000000000,0.2701500000,2886.963135,956.159912,3.019331
1920,1080,1000,-0.7000000000,0.2701500000,2114.406982,768.814209,2.750218
1920,1080,1000,-0.7000000000,0.2701500000,2162.012939,877.264160,2.464495
1920,1080,1000,-0.7000000000,0.2701500000,2259.250000,993.109131,2.274926
1920,1080,1000,-0.7000000000,0.2701500000,2095.874023,928.726074,2.256719
1920,1080,1000,-0.7000000000,0.2701500000,2034.972900,1110.404053,1.832642
1920,1080,1000,-0.7000000000,0.2701500000,2228.784180,925.831787,2.407332
1920,1080,1000,-0.7000000000,0.2701500000,2141.348877,829.120117,2.582676
1920,1080,1000,-0.7000000000,0.2701500000,2056.008057,925.315918,2.221953
1920,1080,1000,-0.7000000000,0.2701500000,2238.927002,895.376953,2.500541

//Fix felbontás (2560 x 1440) - Iteráció hatása (100)
2560,1440,100,-0.7000000000,0.2701500000,1707.925049,925.514893,1.845378
2560,1440,100,-0.7000000000,0.2701500000,1388.661133,1162.600098,1.194444
2560,1440,100,-0.7000000000,0.2701500000,1961.299072,955.297852,2.053076
2560,1440,100,-0.7000000000,0.2701500000,1449.121094,966.437012,1.499447
2560,1440,100,-0.7000000000,0.2701500000,1806.958008,1029.244141,1.755617
2560,1440,100,-0.7000000000,0.2701500000,1855.447021,1035.226074,1.792311
2560,1440,100,-0.7000000000,0.2701500000,1608.810059,836.313965,1.923691
2560,1440,100,-0.7000000000,0.2701500000,1615.662842,868.344971,1.860623
2560,1440,100,-0.7000000000,0.2701500000,1557.585938,816.267090,1.908182
2560,1440,100,-0.7000000000,0.2701500000,1665.524902,834.442139,1.995974

//Fix felbontás (2560 x 1440) - Iteráció hatása (300)
2560,1440,300,-0.7000000000,0.2701500000,3355.626953,1067.760986,3.142676
2560,1440,300,-0.7000000000,0.2701500000,3160.690918,877.812988,3.600643
2560,1440,300,-0.7000000000,0.2701500000,2913.986084,829.419922,3.513282
2560,1440,300,-0.7000000000,0.2701500000,2801.628174,831.882812,3.367816
2560,1440,300,-0.7000000000,0.2701500000,2937.556885,866.656982,3.389527
2560,1440,300,-0.7000000000,0.2701500000,2726.178955,915.248047,2.978623
2560,1440,300,-0.7000000000,0.2701500000,3109.137939,1082.142090,2.873133
2560,1440,300,-0.7000000000,0.2701500000,2838.222900,948.817871,2.991325
2560,1440,300,-0.7000000000,0.2701500000,3096.812012,958.200928,3.231903
2560,1440,300,-0.7000000000,0.2701500000,3135.808838,828.401123,3.785375

//Fix felbontás (2560 x 1440) - Iteráció hatása (1000)
2560,1440,1000,-0.7000000000,0.2701500000,3441.770996,1442.208008,2.386459
2560,1440,1000,-0.7000000000,0.2701500000,3867.814941,1020.134033,3.791477
2560,1440,1000,-0.7000000000,0.2701500000,3551.222900,925.598145,3.836679
2560,1440,1000,-0.7000000000,0.2701500000,3282.427002,973.519043,3.371713
2560,1440,1000,-0.7000000000,0.2701500000,3751.334961,926.341064,4.049626
2560,1440,1000,-0.7000000000,0.2701500000,3722.373047,1071.881104,3.472748
2560,1440,1000,-0.7000000000,0.2701500000,3876.340088,971.549805,3.989852
2560,1440,1000,-0.7000000000,0.2701500000,4058.626953,911.936035,4.450561
